PubChem ID,Target ,Molecular Formula,SMILES,CAS,MW
172469,Cibacron Blue 3GA,C29H20ClN7O11S3,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3NC4=CC(=C(C=C4)NC5=NC(=NC(=N5)NC6=CC=CC=C6S(=O)(=O)O)Cl)S(=O)(=O)O)S(=O)(=O)O)N,84166-13-2,774.2g/mol
25863,Reactive Blue 4,C23H14Cl2N6O8S2,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3NC4=CC(=C(C=C4)S(=O)(=O)O)NC5=NC(=NC(=N5)Cl)Cl)S(=O)(=O)O)N,13324-20-4,637.4 g/mol
168432548,Cyanocobalamin (vitamin B12),C63H88CoN14O14P,CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@@]4([C@H]([C@@H]5[C@]6([C@@]([C@@H](C(=N6)C(=C7[C@@]([C@@H](C(=N7)C=C8C([C@@H](C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3],68-19-9,1355.4g/mol
6450878,Cobinamide dicyanide,C50H72CoN13O8-3,C/C/1=C/2\[C@@]([C@@H](C(=N2)/C=C\3/C([C@@H](C(=N3)/C(=C\4/[C@]([C@H](C([N-]4)[C@]5([C@@]([C@@H](C1=N5)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)(C)CCC(=O)NCC(C)O)/C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N.[C-]#N.[C-]#N.[Co],27792-36-5,1042.1g/mol
9750,L-citrulline [L-(+)-2-amino-5-ureidovaleric acid],C6H13N3O3,C(C[C@@H](C(=O)O)N)CNC(=O)N,372-75-8,175.19g/mol
6322,L-arginine,C6H14N4O2,C(C[C@@H](C(=O)O)N)CN=C(N)N,74-79-3,174.20g/mol
5957,Adenosine and Adenosine Triphosphate (ATP),C10H16N5O13P3,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,56-65-5,507.18g/mol
36294,Tobramycin,C18H37N5O9,C1[C@@H]([C@H]([C@@H]([C@H]([C@@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)N)O)O)O[C@@H]3[C@@H](C[C@@H]([C@H](O3)CN)O)N)N,32986-56-4,467.5g/mol
72394,Aminoglycoside lividomycin,C29H55N5O18,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H](C[C@@H]([C@H](O2)CO)O)N)O[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O[C@@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CN)O[C@@H]5[C@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)N)O)O)N,36441-41-5,761.8g/mol
681,Dopamine,C8H11NO2,C1=CC(=C(C=C1CCN)O)O,51-61-6,153.18g/mol
19649,Streptomycin,C21H39N7O12,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O,57-92-1,581.6g/mol
11103,Hematoporphyrin IX (HPIX),C34H38N4O6,CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C(C)O)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C(C)O,14459-29-1,598.7g/mol
6057,L-tyrosine,C9H11NO3,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O,60-18-4,181.19g/mol
446220,Cocaine,C17H21NO4,CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)OC(=O)C3=CC=CC=C3)C(=O)OC,50-36-2,303.35g/mol
190,Adenine,C5H5N5,C1=NC2=NC=NC(=C2N1)N,73-24-5,135.13g/mol
151243,L-Tyrosinamide,C9H12N2O2,C1=CC(=CC=C1C[C@@H](C(=O)N)N)O,4985-46-0,180.20g/mol
16132350,Neuropeptide Y (NPY),C190H287N55O57,CC[C@H](C)[C@@H](C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N)NC(=O)[C@H](CC2=CC=C(C=C2)O)NC(=O)[C@H](CC3=CN=CN3)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](CC5=CC=C(C=C5)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H]6CCCN6C(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)CNC(=O)[C@@H]7CCCN7C(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]8CCCN8C(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@@H]9CCCN9C(=O)[C@H](CC1=CC=C(C=C1)O)N,82785-45-3,4254g/mol
135398633,Guanosine triphosphate (GTP),C5H5N5O,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N,1986/1/1,523.18g/mol
7577,"4,4¡ä-methylenedianiline (MDA)",C13H14N2,C1=CC(=CC=C1CC2=CC=C(C=C2)N)N,101-77-9,198.26 g/mol
123914,Sialyllactose,C23H39NO19,CC(=O)N[C@@H]1[C@H](C[C@@](O[C@H]1[C@@H]([C@@H](CO)O)O)(C(=O)O)O[C@H]2[C@H]([C@H](O[C@H]([C@@H]2O)O[C@H]([C@@H](CO)O)[C@@H]([C@H](C=O)O)O)CO)O)O,35890-38-1,633.6 g/mol
700,Ethanolamine,C2H7NO£»H2NCH2CH2OH,C(CO)N,141-43-5,61.08g/mol
5819,Thyroxine (T4),C15H11I4NO4,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)O)N,51-48-9,776.87g/mol
442530,Ochratoxin A (OTA),C20H18ClNO6,C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)Cl,303-47-9,403.8g/mol
54675779,Oxytetracycline (OTC),C22H24N2O9,C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O)O,79-57-2,460.4g/mol
30323,Daunomycin,C27H29NO10,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O,20830-81-3,527.5g/mol
187,Acetylcholine,C7H16NO2+,CC(=O)OCC[N+](C)(C)C,51-84-3,146.21g/mol
135440064,8-hydroxy-2¡ä-deoxyguanosine (8-OHdG),C10H13N5O5,C1[C@@H]([C@H](O[C@H]1N2C3=C(C(=O)NC(=N3)N)NC2=O)CO)O,88847-89-6,283.24g/mol
5353957,Sphingosylphosphorylcholine (SPC),C23H49N2O5P,CCCCCCCCCCCCC/C=C/C(C(COP(=O)([O-])OCC[N+](C)(C)C)N)O,82970-80-7,464.6g/mol
6305,L-tryptophan,C11H12N2O2,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,73-22-3,204.22g/mol
114864,(R)-ibuprofen,C13H18O2,C[C@H](C1=CC=C(C=C1)CC(C)C)C(=O)O,51146-57-7,206.28g/mol
